latitude,longitude,date,flag,title,place_name,place_url,time_string,signup_url
50.07273,14.44618,2016-08-30,cz,Prague mapathon #4,"Svět - hub, Prague, Czech Republic",http://www.openstreetmap.org/?mlat=50.07273&mlon=14.44618#map=19/50.07273/14.44618,18:00-20:30,https://www.eventbrite.co.uk/e/missing-maps-czech-republic-mapathon-4-tickets-27210687900
51.5117,-0.1246,2016-09-06,gb,Missing Maps/HOT London,"Qubit London, UK",http://www.openstreetmap.org/node/4063248711#map=19/51.51170/-0.12460,18:00-21:00,https://www.eventbrite.co.uk/e/missing-mapshot-september-mapathon-tickets-27153238066
52.21769,6.89102,2016-09-15,nl,Missing Maps Enschede,"Schermerhorn Lounge, ICT International Hotel, The Netherlands",http://www.openstreetmap.org/#map=20/52.21769/6.89119&layers=H,17:00-21:00,https://goo.gl/forms/LwIFxcBRcfjVTppn2
52.0089,4.35673,2016-09-15,nl,IHE Mapping Party,"IHE campus, Delft, The Netherlands",http://www.openstreetmap.org/?mlat=52.00890&mlon=4.35673#map=19/52.00890/4.35673,17:30-22:00,https://www.unesco-ihe.org/mapathon-hosted-unesco-ihe
55.86601,-4.26102,2016-09-20,gb,Missing Maps Glasgow,"Project Cafe, Glasgow, United Kingdom",http://www.openstreetmap.org/node/3429875881#map=19/55.86601/-4.26102,18:00-21:00,https://www.eventbrite.co.uk/e/missing-maps-glasgow-10-the-project-cafe-tickets-27408468467
29.2285,-81.0162,2016-09-20,us,CFGIS Workshop,"Ocean Center, Daytona Beach, United States",http://osm.org/go/ZGlpIXjo--,14:15-15:15,http://www.cfgisworkshop.org
51.51315,-0.13392,2016-09-20,gb,Missing Maps London Advanced Mappers Mapathon,"Thoughtworks, London, United Kingdom",http://www.openstreetmap.org/#map=19/51.51315/-0.13392,18:00-21:00,https://www.eventbrite.co.uk/e/missing-maps-london-september-mid-month-mapping-party-tickets-27675785018
60.15964,24.95489,2016-09-21,fi,HOT @ SPR,"Finnish Red Cross Headquarters, Helsinki, Finland",http://www.openstreetmap.org/?mlat=60.15964&mlon=24.95489#map=19/60.15964/24.95489,17:00-20:00,https://www.eventbrite.com/e/spr-hotosm-mapathon-tickets-27309204566
50.8334,4.36361,2016-09-22,be,HOT Summit Mapathon,"MSF/HI, Brussels, Belgium",http://www.openstreetmap.org/node/3395003157,18:00-21:30,http://hotmapathon.eventbrite.com
47.68738,-122.35535,2016-09-24,us,Missing Maps mapathon Seattle,"Seattle Public Library, Greenwood Branch, Seattle, United States",http://osm.org/go/WIX7pr8LU?m=,09:45-12:00,http://www.meetup.com/OpenStreetMap-Seattle/events/234138189/
